,newid,region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,inc.a,food,house,transport,utili,health,enter
3563,3067094,1,3,2,2,1,39,1,1,15,8,1,58842.2,60769.2,7490.6668,13562.6668,4941.3332,4120,3356.8,1036
3564,3049524,1,3,2,1,1,38,2,1,14,9,1,69519,75200,5373.3332,12552,2380,2840,2101.3328,820
3566,3004772,3,3,2,1,1,44,1,1,15,9,1,137208,168025,4333.3332,19320,2793.3332,448,5120,1376
3570,2924373,2,3,2,1,2,31,1,1,15,9,1,78191,88065,4160,8876,2921.3332,3608,8181.3328,1180
3572,2925823,4,3,2,1,1,33,1,1,12,9,1,78972.8,86821.8,7530.6668,10937.3332,3052,3680,13440,3216
3574,3002682,3,2,1,1,1,35,1,1,16,9,1,118807,138610,3380,9041.3332,2520,1044,2778.6672,3692
3575,3000072,1,3,2,1,2,48,2,1,15,9,1,86886,97000,5277.3332,21663.3332,10448,5656,11733.3328,2116
3577,2844774,3,3,2,1,1,42,2,1,16,9,1,175368,210000,6792,11593.3332,1908,2760,21845.3328,3220
3578,3057032,3,3,2,1,1,56,1,1,15,9,1,100901,113500,8440,23314.6668,6720,5200,41600,1184
3579,2930063,2,3,2,1,1,49,2,1,15,9,1,88431.8,99698.8,3813.3332,12525.3332,2933.3332,4460,4800,800
3581,2996212,3,2,2,1,1,38,1,1,13,9,1,63781.4,70217.4,6240,8564,3444,3120,20960,5800
3584,2926373,4,2,1,1,1,40,1,1,15,8,1,56997,61751,6413.3332,13480,1920,2848,50282.6672,8244
3586,2922763,3,3,2,1,1,37,2,1,13,8,1,52792.8,53954.8,7493.3332,18706.6668,53280,4740,14880,1024
3589,3078701,4,3,2,1,1,38,1,1,13,8,1,60659,65000,950.6668,3986.6668,720,1144,4090.6672,180
3590,3084432,3,9,1,1,2,56,1,3,14,9,1,69287.8,74130.8,3644,2049.3332,1600,1216,3171.7328,400
3593,2922833,3,3,2,1,1,39,2,1,16,9,1,108029,121475,5821.3332,10956,2416,2220,8032,3052
3594,2931763,1,2,2,1,1,45,1,1,13,9,1,133164.8,158766.8,6066.6668,21106.6668,2272,5496,5120,2096
3599,2932953,1,3,2,1,1,53,2,1,16,9,1,96236.4,105916.4,9146.6668,26028,3453.3332,4500,36320,7352
3602,2931943,4,3,2,1,1,45,1,1,13,9,1,90981,98800,4493.3332,35181.3332,1040,3024,9706.6672,2624
3605,2871154,2,3,2,1,1,44,1,1,15,8,1,60318.2,64877.2,3293.3332,5309.3332,606.6668,1360,8149.3328,320
3606,3067141,4,3,2,1,1,52,2,1,15,9,1,179050.4,219917.4,7306.6668,30785.3332,2800,5764,16000,1440
